Date,Open,High,Low,Close,Adj Close,Volume
2018-04-13,0.200000,0.200000,0.200000,0.200000,0.200000,920
2018-04-16,0.200000,0.200000,0.200000,0.200000,0.200000,0
2018-04-17,0.200000,0.200000,0.200000,0.200000,0.200000,0
2018-04-18,0.200000,0.200000,0.200000,0.200000,0.200000,0
2018-04-19,0.200000,0.200000,0.175000,0.175000,0.175000,6840
2018-04-20,0.175000,0.175000,0.175000,0.175000,0.175000,0
2018-04-23,0.175000,0.175000,0.175000,0.175000,0.175000,14920
2018-04-24,0.150000,0.150000,0.150000,0.150000,0.150000,2000
2018-04-25,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-04-26,0.150000,0.150000,0.150000,0.150000,0.150000,26400
2018-04-27,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-04-30,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-05-01,0.150000,0.150000,0.150000,0.150000,0.150000,3600
2018-05-02,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-05-03,0.175000,0.175000,0.175000,0.175000,0.175000,4680
2018-05-04,0.175000,0.175000,0.175000,0.175000,0.175000,0
2018-05-07,0.175000,0.175000,0.175000,0.175000,0.175000,0
2018-05-08,0.200000,0.200000,0.200000,0.200000,0.200000,5200
2018-05-09,0.200000,0.200000,0.200000,0.200000,0.200000,0
2018-05-10,0.175000,0.175000,0.175000,0.175000,0.175000,1200
2018-05-11,0.175000,0.175000,0.175000,0.175000,0.175000,0
2018-05-14,0.175000,0.175000,0.175000,0.175000,0.175000,0
2018-05-15,0.175000,0.175000,0.175000,0.175000,0.175000,2000
2018-05-16,0.175000,0.175000,0.175000,0.175000,0.175000,0
2018-05-17,0.175000,0.175000,0.175000,0.175000,0.175000,0
2018-05-18,0.175000,0.175000,0.175000,0.175000,0.175000,0
2018-05-22,0.175000,0.175000,0.175000,0.175000,0.175000,0
2018-05-23,0.175000,0.175000,0.175000,0.175000,0.175000,0
2018-05-24,0.175000,0.175000,0.150000,0.150000,0.150000,4400
2018-05-25,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-05-28,0.150000,0.150000,0.150000,0.150000,0.150000,0
2018-05-29,0.150000,0.150000,0.150000,0.150000,0.150000,0
